mx,my,SRGbb28001400,SRGbb23001000,SRGbb21001600,SRGbb20001800
2600,200,0.0842855645245832,0.0749554460635286,0.0071286298354125,0.0011531607086696
2600,400,0.0865637146759113,0.078894841895157,0.0074587666771719,0.0015757957768673
2600,600,0.0917172139719724,0.0846057310186153,0.007529805480025,0.0011503869483371
2600,800,0.0996642887117079,0.0917960553923625,0.0074485942089802,0.0016785564414603
2600,1000,0.102499474900231,0.0945179584120983,0.0087166561646712,0.0011552194917034
2600,1200,0.1002094240837696,0.0954973821989528,0.0148691099476439,0.001675392670157
2600,1400,0.0902682798527091,0.0872172540768016,0.0223040504997369,0.0031562335612835
2600,1600,0.0650397989107666,0.0647255969836615,0.0303728529534981,0.0018852115626309
2600,1800,0.0291313004296342,0.0311222885884941,0.0401341297285968,0.0028292989625903
2800,1,0.0762317942361326,0.0677615948765623,0.0054746410494783,0.0011362462555521
2800,400,0.0869565217391304,0.0778899649701215,0.0069029466309499,0.0013393777045126
2800,800,0.0933236874741628,0.0840223232740802,0.0095080611823067,0.0009301364200082
2800,1000,0.1021272201569599,0.0929368029739776,0.0088806278397356,0.0021685254027261
2800,1200,0.104175279040926,0.0965274906986358,0.010541546093427,0.0016535758577924
2800,1400,0.1035122051704603,0.0974353692450303,0.0144196106705118,0.0018539499433515
2800,1600,0.0933775520779355,0.0891284070888174,0.0216602756762358,0.0016582029225826
